GLOTTOCODE,longitude,latitude,LID,autotyp.language,glottolog.language.x,subarea,area,continent,continent.revised,area.revised,continent.change,area.change,glottolog.stock,ISO.g,glottolog.language.y
akak1251,92.7466,12.0944,0,,Aka-Kora,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Great Andamanese [grea1241],ack,Aka-Kora [akak1251][ack]
akak1252,92.75,12.75,873,Aka-Kede,Aka-Kede,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Great Andamanese [grea1241],akx,Aka-Kede [akak1252][akx]
akak1253,92.7866,12.7325,0,,Aka-Kol,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Great Andamanese [grea1241],aky,Aka-Kol [akak1253][aky]
akan1250,-1.25,6.5,2645,Akan,Akan,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],aka,Akan [akan1250][aka]
akar1243,92.8278,12.6663,0,,Akar-Bale,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Great Andamanese [grea1241],acl,Akar-Bale [akar1243][acl]
akas1242,1.37035,8.8858,0,,Akaselem,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],aks,Akaselem [akas1242][aks]
akaw1239,-59.5,6,916,Akawaio,Akawaio,,NE South America,S America,S America,NE South America,0,0,Cariban [cari1283],ake,Akawaio [akaw1239][ake]
akeb1238,0.77668,7.78365,0,,Akebu,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],keu,Akebu [akeb1238][keu]
akee1238,8.75768,8.59543,0,,Ake,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],aik,Ake [akee1238][aik]
akei1237,166.767,-15.6377,0,,Akei,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],tsr,Akei [akei1237][tsr]
akha1245,99.83,21.83,470,Akha,Akha,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Sino-Tibetan [sino1245],ahk,Akha [akha1245][ahk]
akhv1239,46.35,42.52,2962,Akhvakh (Northern),Akhvakh,Caucasus,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Nakh-Daghestanian [nakh1245],akv,Akhvakh [akhv1239][akv]
