Language,ISO,Country
Kickapoo,kic,
Lumbee,lmz,
Mahican,mjy,USA
Malecite-Passamaquoddy,pqm,
Massachusett,wam,
Menomini,mez,
Miami,mia,
Michif,crg,
Micmac,mic,
Mohegan-Montauk-Narragansett,mof,
Montagnais,moe,
Munsee,umu,
Nanticoke,nnt,
Naskapi,nsk,
Nawathinehena,nwa,
Ojibwa (Central),ojc,
Ojibwa (Eastern),ojg,
Ojibwe (Northwestern),ojb,
Ojibwa (Severn),ojs,
Ojibwa (Western),ojw,
Ottawa,otw,
Passamquoddy,pqm,
Piscataway,psy,
Potawatomi,pot,
Powhatan,pim,
Shawnee,sjw,
Unami,unm,
Wampanoag,wam,
Wiyot,wiy,
Yurok,yur,
Alsea,aes,
Atakapa,aqp,
Beothuk,bue,
Karkin,krb,
Miwok (Bay),mkq,
Miwok (Bodega ~ Coast),csi,
Miwok (Central Sierra),csm,
Miwok (Lake),lmw,
Miwok (Northern Sierra),nsq,
Miwok (Plains),pmw,
Miwok (Southern Sierra),skd,
Ohlone (Northern) ~ Costanoan,cst,
Ohlone (Southern) ~ Mutsun,css,
Cayuse,xcy,
Chemakum,cmk,
Quileute,qui,
Chimariko,cid,
Chitimacha,ctm,
Chinook (Lower),chh,
Wasco-Wishram,wac,
Barbareño,boi,
Chumash,chs,
Cruzeño,crz,
Ineseño,inz,
Obispeño,obi,
Purisimeño,puy,
Ventureño,veo,
